Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type
559523079.0,116926344273.0,870776720814080.0,885470699520.0,3054512361730048.0,24666286479.0,0.0,9888432997.0,736233385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31358485.0,0.0,0.0,0.0,5389929.0,0.0,2018700.0,players_RollingHills_0x_0z_100p_120s.csv,20187,0,0,False,0,100,120,RollingHills
967320315.0,103527685758.0,142086098239488.0,1239607148544.0,470528931692544.0,7002420044.0,394269.0,822523945.0,558920373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28666781.0,0.0,0.0,0.0,8142966.0,0.0,304980.0,players_RollingHills_0x_0z_10p_120s.csv,30498,0,0,False,0,10,120,RollingHills
1067923727.0,106429178691.0,287061820690432.0,1365177581568.0,986472484651008.0,7869596727.0,293411.0,1444656007.0,529250363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27756156.0,0.0,0.0,0.0,8670558.0,0.0,649480.0,players_RollingHills_0x_0z_20p_120s.csv,32474,0,0,False,0,20,120,RollingHills
978104686.0,109149982860.0,406496440987648.0,1258691964928.0,1413019757588480.0,9629425855.0,462677.0,2248178475.0,545790884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28770318.0,0.0,0.0,0.0,8299428.0,0.0,932520.0,players_RollingHills_0x_0z_30p_120s.csv,31084,0,0,False,0,30,120,RollingHills
881976663.0,112383938306.0,496535933587456.0,1050533494784.0,1740519583236096.0,12142595412.0,462177.0,3510781471.0,636600954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30424495.0,0.0,0.0,0.0,7690401.0,0.0,1152120.0,players_RollingHills_0x_0z_40p_120s.csv,28803,0,0,False,0,40,120,RollingHills
811567035.0,115082080535.0,591101837479936.0,1136157777920.0,2083300143554560.0,14612551649.0,627968.0,4802573572.0,682372277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31449868.0,0.0,0.0,0.0,7391094.0,0.0,1384100.0,players_RollingHills_0x_0z_50p_120s.csv,27682,0,0,False,0,50,120,RollingHills
717947244.0,117209618015.0,656328540741632.0,1032149987328.0,2309342848495616.0,17649515102.0,0.0,6131059041.0,764493347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33082246.0,0.0,0.0,0.0,6823719.0,0.0,1533420.0,players_RollingHills_0x_0z_60p_120s.csv,25557,0,0,False,0,60,120,RollingHills
713686303.0,117264916065.0,743191194292224.0,983582306304.0,2610627961806848.0,19434826084.0,0.0,7071509001.0,720580210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31638143.0,0.0,0.0,0.0,6611187.0,0.0,1733270.0,players_RollingHills_0x_0z_70p_120s.csv,24761,0,0,False,0,70,120,RollingHills
698028457.0,117058571930.0,829752970084352.0,998856556544.0,2907003076157440.0,20834147467.0,0.0,8088481357.0,763458871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31910494.0,0.0,0.0,0.0,6416277.0,0.0,1922480.0,players_RollingHills_0x_0z_80p_120s.csv,24031,0,0,False,0,80,120,RollingHills
654761835.0,116545346916.0,878788869292032.0,1011404312576.0,3084807101460480.0,22507438063.0,0.0,9072993701.0,725191765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30989172.0,0.0,0.0,0.0,6050754.0,0.0,2039580.0,players_RollingHills_0x_0z_90p_120s.csv,22662,0,0,False,0,90,120,RollingHills
